BJD_TDB flux_star_0 flux_star_1 flux_star_2 flux_star_3 flux_star_4 flux_star_5 flux_star_6 flux_star_7 flux_star_8 sky airmass xshift yshift sky_entropy
2459332.367951696 2036045.333717584 384990.7670250695 345496.1110250346 132581.48999401112 36844.793414427026 26112.352627369284 20485.378033034474 21785.442341376474 13283.289661910152 22.4261069495657 1.213 -3.4320675848159468 -5.549475133050002 6.688362238951798
2459332.3681372767 2000512.2522227773 376473.28323284374 336732.84101558133 130289.96315657004 37430.14628140727 24621.877263984206 19341.966421381614 20587.262022040406 12841.459166935325 23.093136788580463 1.213 -2.904755793854136 -5.508844867019278 6.732165554467604
2459332.3683229275 2002680.883469662 381926.29324481037 343800.2058590044 130845.57390203586 36137.13208444319 24772.11049079841 20037.822351122915 20574.266778616075 13839.643542767939 23.75116494975042 1.213 -2.168851273604602 -6.869392970020321 6.657123926107547
2459332.3685085317 1897623.5647924251 362376.48721618357 319165.9175183787 121880.37004106282 35682.25073794657 23560.003041307747 18515.93203754867 19697.07659069296 13774.905175605629 24.846518343316657 1.213 -2.0243548625740075 -7.957990331151251 6.745383170641674
2459332.3686943445 1838403.0923036812 345204.8720781399 307866.20766490506 118478.19607209112 33029.98495274995 22481.860271830927 17888.25636212989 18662.783073074854 13513.39191425746 26.494985680972565 1.212 -0.33031135813492796 -6.107677863422126 6.80755151258763
2459332.368879895 809462.3091704638 147764.74356284743 135196.2260907087 52243.84312526748 2542.3163411809364 797.3943555421138 898.1684240179311 2370.0380940470495 343.71591746265767 54.501831793183236 1.212 0.5970637889272581 -4.9975594997216035 7.153344384201987
2459332.3690650878 509118.40288896876 90413.73955860233 97825.71248734361 37510.75937060721 -2504.5282783925068 -393.10833486790943 3922.8477953934635 6443.962471361621 2097.526211985416 53.33507980097273 1.212 2.339885551002368 -5.902102011000885 7.24773757388941
2459332.3692509504 980856.4561625584 179115.05696735892 157366.39643620647 60951.163820621005 9540.700764571724 229.04532285543974 -89.33905218617292 636.407306865236 805.4976969191048 42.7038017462526 1.212 2.084010525945672 -6.117785494925421 7.06506101599098
2459332.36943656 598255.6896467418 115918.29528374344 100670.60344597828 38419.07146264153 -1691.9927435025165 1139.396481022588 -819.1888484418741 1274.4420830478193 96.41868302453076 50.16444998251533 1.212 0.19693260312131144 -6.109122477956461 7.202598833232182
2459332.3699935977 547628.2072521745 114467.4302222784 91404.96283126308 34222.43277498442 -401.5933922455297 -10.71663075167453 1066.9060222778644 -781.3991104579472 -219.01446826203028 47.09234841054523 1.211 -2.024367226550112 -5.0144206386954835 7.233385442656984
2459332.370364889 387117.0646398891 71182.55064241082 67639.90117714956 25813.296319070243 218.09747476730263 720.8856315585726 -574.0992024710868 619.2975724355201 -203.86607486652792 47.980010440229975 1.211 -0.8353328858236821 -6.106778544006843 7.307164236056853
2459332.3705508104 957967.4464083263 181057.27040593 155974.71246437638 60331.19948646802 11482.720778323419 114.58311957708793 1157.7910500954022 2273.4908993837307 1195.307048332732 49.52586071863766 1.21 0.3445544011358095 -5.628673234261008 7.032816003714446
2459332.3707361124 614984.5834716146 135654.96827620524 103739.84124656604 38698.099200019584 1444.42131314578 1066.8709671486286 6308.893094211962 5619.8863284804975 3029.1565104804467 53.23107487086998 1.21 2.347547631421783 -6.214094570571781 7.173444350811451
2459332.3709220085 1374647.0715983456 251995.91296382176 238612.47807128436 90854.48179397901 23681.22331299883 16039.107057966583 13334.09694794155 14516.9213352917 9772.439947913168 37.27859774490027 1.21 3.3814650076944304 -6.703519859509676 6.8401543012249135
